EmployeeID,EmployeeName,Age,Salary,Price,Marks1,Marks2,Marks3,discounted_price
E101,Alice,25.0,50000.0,1200,85,90,88,1080.0
E102,Bob,30.0,60000.0,1500,78,82,80,1350.0
E103,Charlie,22.0,52000.0,1100,92,95,90,990.0
E101,Alice,25.0,50000.0,1200,85,90,88,1080.0
E104,David,45.0,80000.0,2500,88,85,89,2250.0
E105,Eve,29.0,58000.0,1300,76,79,81,1170.0
E106,Frank,,75000.0,2200,90,91,92,1980.0
E107,Grace,34.0,,1900,81,83,80,1710.0
E108,Heidi,38.0,,1800,84,86,88,1620.0
E109,Ivan,26.0,53000.0,1400,95,92,94,1260.0
E102,Bob,30.0,60000.0,1500,78,82,80,1350.0
